PROD_CODE;date;metric
PROD004;2011-02-11;4
PROD004;2011-02-14;10
PROD004;2011-02-15;2
PROD004;2011-02-16;4
PROD004;2011-02-17;6
PROD004;2011-02-18;8
PROD004;2011-02-21;4
PROD004;2011-02-22;6
PROD004;2011-02-23;8
PROD004;2011-02-24;10
PROD005;2011-01-03;5
PROD005;2011-01-04;7
PROD005;2011-01-05;9
PROD005;2011-01-06;1
PROD005;2011-01-07;3
PROD005;2011-01-10;9
PROD005;2011-01-11;1
PROD005;2011-01-12;3
PROD005;2011-01-13;5
PROD005;2011-01-14;7
PROD005;2011-01-17;3
PROD005;2011-01-18;5
PROD005;2011-01-19;7
PROD005;2011-01-20;9
PROD005;2011-01-21;1
PROD005;2011-01-24;7
PROD005;2011-01-25;9
PROD005;2011-01-26;1
PROD005;2011-01-27;3
PROD005;2011-01-28;5
PROD005;2011-01-31;1
PROD005;2011-02-01;3
PROD005;2011-02-02;5
PROD005;2011-02-03;7
PROD005;2011-02-04;9
PROD005;2011-02-07;5
PROD005;2011-02-08;7
PROD005;2011-02-09;9
PROD005;2011-02-10;1
PROD005;2011-02-11;3
PROD005;2011-02-14;9
PROD005;2011-02-15;1
PROD005;2011-02-16;3
PROD005;2011-02-17;5
PROD005;2011-02-18;7
PROD005;2011-02-21;3
PROD005;2011-02-22;5
PROD005;2011-02-23;7
PROD005;2011-02-24;9
PROD006;2011-01-03;6
PROD006;2011-01-04;8
PROD006;2011-01-05;10
PROD006;2011-01-06;2
PROD006;2011-01-07;4
PROD006;2011-01-10;10
PROD006;2011-01-11;2
PROD006;2011-01-12;4
PROD006;2011-01-13;6
PROD006;2011-01-14;8
PROD006;2011-01-17;4
PROD006;2011-01-18;6
PROD006;2011-01-19;8
PROD006;2011-01-20;10
PROD006;2011-01-21;2
PROD006;2011-01-24;8
PROD006;2011-01-25;10
PROD006;2011-01-26;2
PROD006;2011-01-27;4
PROD006;2011-01-28;6
PROD006;2011-01-31;2
PROD006;2011-02-01;4
PROD006;2011-02-02;6
PROD006;2011-02-03;8
PROD006;2011-02-04;10
PROD006;2011-02-07;6
PROD006;2011-02-08;8
PROD006;2011-02-09;10
PROD006;2011-02-10;2
PROD006;2011-02-11;4
PROD006;2011-02-14;10
PROD006;2011-02-15;2
PROD006;2011-02-16;4
PROD006;2011-02-17;6
PROD006;2011-02-18;8
PROD006;2011-02-21;4
PROD006;2011-02-22;6
PROD006;2011-02-23;8
PROD006;2011-02-24;10
PROD007;2011-01-03;5
PROD007;2011-01-04;7
PROD007;2011-01-05;9
PROD007;2011-01-06;1
PROD007;2011-01-07;3
PROD007;2011-01-10;9
PROD007;2011-01-11;1
PROD007;2011-01-12;3
PROD007;2011-01-13;5
PROD007;2011-01-14;7
PROD007;2011-01-17;3
PROD007;2011-01-18;5
PROD007;2011-01-19;7
PROD007;2011-01-20;9
PROD007;2011-01-21;1
PROD007;2011-01-24;7
PROD007;2011-01-25;9
PROD007;2011-01-26;1
PROD007;2011-01-27;3
PROD007;2011-01-28;5
PROD007;2011-01-31;1
PROD007;2011-02-01;3
PROD007;2011-02-02;5
PROD007;2011-02-03;7
PROD007;2011-02-04;9
PROD007;2011-02-07;5
PROD007;2011-02-08;7
PROD007;2011-02-09;9
PROD007;2011-02-10;1
PROD007;2011-02-11;3
PROD007;2011-02-14;9
PROD007;2011-02-15;1
PROD007;2011-02-16;3
PROD007;2011-02-17;5
PROD007;2011-02-18;7
PROD007;2011-02-21;3
PROD007;2011-02-22;5
PROD007;2011-02-23;7
PROD007;2011-02-24;9
PROD008;2011-01-03;6
PROD008;2011-01-04;8
PROD008;2011-01-05;10
PROD008;2011-01-06;2
PROD008;2011-01-07;4
PROD008;2011-01-10;10
PROD008;2011-01-11;2
PROD008;2011-01-12;4
PROD008;2011-01-13;6
PROD008;2011-01-14;8
PROD008;2011-01-17;4
PROD008;2011-01-18;6
PROD008;2011-01-19;8
PROD008;2011-01-20;10
PROD008;2011-01-21;2
PROD008;2011-01-24;8
PROD008;2011-01-25;10
PROD008;2011-01-26;2
PROD008;2011-01-27;4
PROD008;2011-01-28;6
PROD008;2011-01-31;2
PROD008;2011-02-01;4
PROD008;2011-02-02;6
PROD008;2011-02-03;8
PROD008;2011-02-04;10
PROD008;2011-02-07;6
PROD008;2011-02-08;8
PROD008;2011-02-09;10
PROD008;2011-02-10;2
PROD008;2011-02-11;4
PROD008;2011-02-14;10
PROD008;2011-02-15;2
PROD008;2011-02-16;4
PROD008;2011-02-17;6
PROD008;2011-02-18;8
PROD008;2011-02-21;4
PROD008;2011-02-22;6
PROD008;2011-02-23;8
PROD008;2011-02-24;10
PROD009;2011-01-03;5
PROD009;2011-01-04;7
PROD009;2011-01-05;9
PROD009;2011-01-06;1
PROD009;2011-01-07;3
PROD009;2011-01-10;9
PROD009;2011-01-11;1
PROD009;2011-01-12;3
PROD009;2011-01-13;5
PROD009;2011-01-14;7
PROD009;2011-01-17;3
PROD009;2011-01-18;5
PROD009;2011-01-19;7
PROD009;2011-01-20;9
PROD009;2011-01-21;1
PROD009;2011-01-24;7
PROD009;2011-01-25;9
PROD009;2011-01-26;1
PROD009;2011-01-27;3
PROD009;2011-01-28;5
PROD009;2011-01-31;1
PROD009;2011-02-01;3
PROD009;2011-02-02;5
PROD009;2011-02-03;7
PROD009;2011-02-04;9
PROD009;2011-02-07;5
PROD009;2011-02-08;7
PROD009;2011-02-09;9
PROD009;2011-02-10;1
PROD009;2011-02-11;3
PROD009;2011-02-14;9
PROD009;2011-02-15;1
PROD009;2011-02-16;3
PROD009;2011-02-17;5
PROD009;2011-02-18;7
PROD009;2011-02-21;3
PROD009;2011-02-22;5
PROD009;2011-02-23;7
PROD009;2011-02-24;9
PROD010;2011-01-03;6
PROD010;2011-01-04;8
PROD010;2011-01-05;10
PROD010;2011-01-06;2
PROD010;2011-01-07;4
PROD010;2011-01-10;10
PROD010;2011-01-11;2
PROD010;2011-01-12;4
PROD010;2011-01-13;6
PROD010;2011-01-14;8
PROD010;2011-01-17;4
PROD010;2011-01-18;6
PROD010;2011-01-19;8
PROD010;2011-01-20;10
PROD010;2011-01-21;2
PROD010;2011-01-24;8
PROD010;2011-01-25;10
PROD010;2011-01-26;2
PROD010;2011-01-27;4
PROD010;2011-01-28;6
PROD010;2011-01-31;2
PROD010;2011-02-01;4
PROD010;2011-02-02;6
PROD010;2011-02-03;8
PROD010;2011-02-04;10
PROD010;2011-02-07;6
PROD010;2011-02-08;8
PROD010;2011-02-09;10
PROD010;2011-02-10;2
PROD010;2011-02-11;4
PROD010;2011-02-14;10
PROD010;2011-02-15;2
PROD010;2011-02-16;4
PROD010;2011-02-17;6
PROD010;2011-02-18;8
PROD010;2011-02-21;4
PROD010;2011-02-22;6
PROD010;2011-02-23;8
PROD010;2011-02-24;10
PROD011;2011-01-03;5
PROD011;2011-01-04;7
PROD011;2011-01-05;9
PROD011;2011-01-06;1
PROD011;2011-01-07;3
PROD011;2011-01-10;9
PROD011;2011-01-11;1
PROD011;2011-01-12;3
PROD011;2011-01-13;5
PROD011;2011-01-14;7
PROD011;2011-01-17;3
PROD011;2011-01-18;5
PROD011;2011-01-19;7
PROD011;2011-01-20;9
PROD011;2011-01-21;1
PROD011;2011-01-24;7
PROD011;2011-01-25;9
PROD011;2011-01-26;1
PROD011;2011-01-27;3
PROD011;2011-01-28;5
PROD011;2011-01-31;1
PROD011;2011-02-01;3
PROD011;2011-02-02;5
PROD011;2011-02-03;7
PROD011;2011-02-04;9
PROD011;2011-02-07;5
PROD011;2011-02-08;7
PROD011;2011-02-09;9
PROD011;2011-02-10;1
PROD011;2011-02-11;3
PROD011;2011-02-14;9
PROD011;2011-02-15;1
PROD011;2011-02-16;3
PROD011;2011-02-17;5
PROD011;2011-02-18;7
PROD011;2011-02-21;3
PROD011;2011-02-22;5
PROD011;2011-02-23;7
PROD011;2011-02-24;9
PROD012;2011-01-03;6
PROD012;2011-01-04;8
PROD012;2011-01-05;10
PROD012;2011-01-06;2
PROD012;2011-01-07;4
PROD012;2011-01-10;10
PROD012;2011-01-11;2
PROD012;2011-01-12;4
PROD012;2011-01-13;6
PROD012;2011-01-14;8
PROD012;2011-01-17;4
PROD012;2011-01-18;6
PROD012;2011-01-19;8
PROD012;2011-01-20;10
PROD012;2011-01-21;2
PROD012;2011-01-24;8
PROD012;2011-01-25;10
PROD012;2011-01-26;2
PROD012;2011-01-27;4
PROD012;2011-01-28;6
PROD012;2011-01-31;2
PROD012;2011-02-01;4
PROD012;2011-02-02;6
PROD012;2011-02-03;8
PROD012;2011-02-04;10
PROD012;2011-02-07;6
PROD012;2011-02-08;8
PROD012;2011-02-09;10
PROD012;2011-02-10;2
PROD012;2011-02-11;4
PROD012;2011-02-14;10
PROD012;2011-02-15;2
PROD012;2011-02-16;4
PROD012;2011-02-17;6
PROD012;2011-02-18;8
PROD012;2011-02-21;4
PROD012;2011-02-22;6
PROD012;2011-02-23;8
PROD012;2011-02-24;10
PROD013;2011-01-03;5
PROD013;2011-01-04;7
PROD013;2011-01-05;9
PROD013;2011-01-06;1
PROD013;2011-01-07;3
PROD013;2011-01-10;9
PROD013;2011-01-11;1
PROD013;2011-01-12;3
PROD013;2011-01-13;5
PROD013;2011-01-14;7
PROD013;2011-01-17;3
PROD013;2011-01-18;5
PROD013;2011-01-19;7
PROD013;2011-01-20;9
PROD013;2011-01-21;1
PROD013;2011-01-24;7
PROD013;2011-01-25;9
PROD013;2011-01-26;1
PROD013;2011-01-27;3
PROD013;2011-01-28;5
PROD013;2011-01-31;1
PROD013;2011-02-01;3
PROD013;2011-02-02;5
PROD013;2011-02-03;7
PROD013;2011-02-04;9
PROD013;2011-02-07;5
PROD013;2011-02-08;7
PROD013;2011-02-09;9
PROD013;2011-02-10;1
PROD013;2011-02-11;3
PROD013;2011-02-14;9
PROD013;2011-02-15;1
PROD013;2011-02-16;3
PROD013;2011-02-17;5
PROD013;2011-02-18;7
PROD013;2011-02-21;3
PROD013;2011-02-22;5
PROD013;2011-02-23;7
PROD013;2011-02-24;9
PROD014;2011-01-03;6
PROD014;2011-01-04;8
PROD014;2011-01-05;10
PROD014;2011-01-06;2
PROD014;2011-01-07;4
PROD014;2011-01-10;10
PROD014;2011-01-11;2
PROD014;2011-01-12;4
PROD014;2011-01-13;6
PROD014;2011-01-14;8
PROD014;2011-01-17;4
PROD014;2011-01-18;6
PROD014;2011-01-19;8
PROD014;2011-01-20;10
PROD014;2011-01-21;2
PROD014;2011-01-24;8
PROD014;2011-01-25;10
PROD014;2011-01-26;2
PROD014;2011-01-27;4
PROD014;2011-01-28;6
PROD014;2011-01-31;2
PROD014;2011-02-01;4
PROD014;2011-02-02;6
PROD014;2011-02-03;8
PROD014;2011-02-04;10
PROD014;2011-02-07;6
PROD014;2011-02-08;8
PROD014;2011-02-09;10
PROD014;2011-02-10;2
PROD014;2011-02-11;4
PROD014;2011-02-14;10
PROD014;2011-02-15;2
PROD014;2011-02-16;4
PROD014;2011-02-17;6
PROD014;2011-02-18;8
PROD014;2011-02-21;4
PROD014;2011-02-22;6
PROD014;2011-02-23;8
PROD014;2011-02-24;10
PROD015;2011-01-03;5
PROD015;2011-01-04;7
PROD015;2011-01-05;9
PROD015;2011-01-06;1
PROD015;2011-01-07;3
PROD015;2011-01-10;9
PROD015;2011-01-11;1
PROD015;2011-01-12;3
PROD015;2011-01-13;5
PROD015;2011-01-14;7
PROD015;2011-01-17;3
PROD015;2011-01-18;5
PROD015;2011-01-19;7
PROD015;2011-01-20;9
PROD015;2011-01-21;1
PROD015;2011-01-24;7
PROD015;2011-01-25;9
PROD015;2011-01-26;1
PROD015;2011-01-27;3
PROD015;2011-01-28;5
PROD015;2011-01-31;1
PROD015;2011-02-01;3
PROD015;2011-02-02;5
PROD015;2011-02-03;7
PROD015;2011-02-04;9
PROD015;2011-02-07;5
PROD015;2011-02-08;7
PROD015;2011-02-09;9
PROD015;2011-02-10;1
PROD015;2011-02-11;3
PROD015;2011-02-14;9
PROD015;2011-02-15;1
PROD015;2011-02-16;3
PROD015;2011-02-17;5
PROD015;2011-02-18;7
PROD015;2011-02-21;3
PROD015;2011-02-22;5
PROD015;2011-02-23;7
PROD015;2011-02-24;9
PROD016;2011-01-03;6
PROD016;2011-01-04;8
PROD016;2011-01-05;10
PROD016;2011-01-06;2
PROD016;2011-01-07;4
PROD016;2011-01-10;10
PROD016;2011-01-11;2
PROD016;2011-01-12;4
PROD016;2011-01-13;6
PROD016;2011-01-14;8
PROD016;2011-01-17;4
PROD016;2011-01-18;6
PROD016;2011-01-19;8
PROD016;2011-01-20;10
PROD016;2011-01-21;2
PROD016;2011-01-24;8
PROD016;2011-01-25;10
PROD016;2011-01-26;2
PROD016;2011-01-27;4
PROD016;2011-01-28;6
PROD016;2011-01-31;2
PROD016;2011-02-01;4
PROD016;2011-02-02;6
PROD016;2011-02-03;8
PROD016;2011-02-04;10
PROD016;2011-02-07;6
PROD016;2011-02-08;8
PROD016;2011-02-09;10
PROD016;2011-02-10;2
PROD016;2011-02-11;4
PROD016;2011-02-14;10
PROD016;2011-02-15;2
PROD016;2011-02-16;4
PROD016;2011-02-17;6
PROD016;2011-02-18;8
PROD016;2011-02-21;4
PROD016;2011-02-22;6
PROD016;2011-02-23;8
PROD016;2011-02-24;10
PROD017;2011-01-03;5
PROD017;2011-01-04;7
PROD017;2011-01-05;9
PROD017;2011-01-06;1
PROD017;2011-01-07;3
PROD017;2011-01-10;9
PROD017;2011-01-11;1
PROD017;2011-01-12;3
PROD017;2011-01-13;5
PROD017;2011-01-14;7
PROD017;2011-01-17;3
PROD017;2011-01-18;5
PROD017;2011-01-19;7
PROD017;2011-01-20;9
PROD017;2011-01-21;1
PROD017;2011-01-24;7
PROD017;2011-01-25;9
PROD017;2011-01-26;1
PROD017;2011-01-27;3
PROD017;2011-01-28;5
PROD017;2011-01-31;1
PROD017;2011-02-01;3
PROD017;2011-02-02;5
PROD017;2011-02-03;7
PROD017;2011-02-04;9
PROD017;2011-02-07;5
PROD017;2011-02-08;7
PROD017;2011-02-09;9
PROD017;2011-02-10;1
PROD017;2011-02-11;3
PROD017;2011-02-14;9
PROD017;2011-02-15;1
PROD017;2011-02-16;3
PROD017;2011-02-17;5
PROD017;2011-02-18;7
PROD017;2011-02-21;3
PROD017;2011-02-22;5
PROD017;2011-02-23;7
PROD017;2011-02-24;9
PROD018;2011-01-03;6
PROD018;2011-01-04;8
PROD018;2011-01-05;10
PROD018;2011-01-06;2
PROD018;2011-01-07;4
PROD018;2011-01-10;10
PROD018;2011-01-11;2
PROD018;2011-01-12;4
PROD018;2011-01-13;6
PROD018;2011-01-14;8
PROD018;2011-01-17;4
PROD018;2011-01-18;6
PROD018;2011-01-19;8
PROD018;2011-01-20;10
PROD018;2011-01-21;2
PROD018;2011-01-24;8
PROD018;2011-01-25;10
PROD018;2011-01-26;2
PROD018;2011-01-27;4
PROD018;2011-01-28;6
PROD018;2011-01-31;2
PROD018;2011-02-01;4
PROD018;2011-02-02;6
PROD018;2011-02-03;8
PROD018;2011-02-04;10
PROD018;2011-02-07;6
PROD018;2011-02-08;8
PROD018;2011-02-09;10
PROD018;2011-02-10;2
PROD018;2011-02-11;4
PROD018;2011-02-14;10
PROD018;2011-02-15;2
PROD018;2011-02-16;4
PROD018;2011-02-17;6
PROD018;2011-02-18;8
PROD018;2011-02-21;4
PROD018;2011-02-22;6
PROD018;2011-02-23;8
PROD018;2011-02-24;10
PROD019;2011-01-03;5
PROD019;2011-01-04;7
PROD019;2011-01-05;9
PROD019;2011-01-06;1
PROD019;2011-01-07;3
PROD019;2011-01-10;9
PROD019;2011-01-11;1
PROD019;2011-01-12;3
PROD019;2011-01-13;5
PROD019;2011-01-14;7
PROD019;2011-01-17;3
PROD019;2011-01-18;5
PROD019;2011-01-19;7
PROD019;2011-01-20;9
PROD019;2011-01-21;1
PROD019;2011-01-24;7
PROD019;2011-01-25;9
PROD019;2011-01-26;1
PROD019;2011-01-27;3
PROD019;2011-01-28;5
PROD019;2011-01-31;1
PROD019;2011-02-01;3
PROD019;2011-02-02;5
PROD019;2011-02-03;7
PROD019;2011-02-04;9
PROD019;2011-02-07;5
PROD019;2011-02-08;7
PROD019;2011-02-09;9
PROD019;2011-02-10;1
PROD019;2011-02-11;3
PROD019;2011-02-14;9
PROD019;2011-02-15;1
PROD019;2011-02-16;3
PROD019;2011-02-17;5
PROD019;2011-02-18;7
PROD019;2011-02-21;3
PROD019;2011-02-22;5
PROD019;2011-02-23;7
PROD019;2011-02-24;9
PROD020;2011-01-03;6
PROD020;2011-01-04;8
PROD020;2011-01-05;10
PROD020;2011-01-06;2
PROD020;2011-01-07;4
PROD020;2011-01-10;10
PROD020;2011-01-11;2
PROD020;2011-01-12;4
PROD020;2011-01-13;6
PROD020;2011-01-14;8
PROD020;2011-01-17;4
PROD020;2011-01-18;6
PROD020;2011-01-19;8
PROD020;2011-01-20;10
PROD020;2011-01-21;2
PROD020;2011-01-24;8
PROD020;2011-01-25;10
PROD020;2011-01-26;2
PROD020;2011-01-27;4
PROD020;2011-01-28;6
PROD020;2011-01-31;2
PROD020;2011-02-01;4
PROD020;2011-02-02;6
PROD020;2011-02-03;8
PROD020;2011-02-04;10
PROD020;2011-02-07;6
PROD020;2011-02-08;8
PROD020;2011-02-09;10
PROD020;2011-02-10;2
PROD020;2011-02-11;4
PROD020;2011-02-14;10
PROD020;2011-02-15;2
PROD020;2011-02-16;4
PROD020;2011-02-17;6
PROD020;2011-02-18;8
PROD020;2011-02-21;4
PROD020;2011-02-22;6
PROD020;2011-02-23;8
PROD020;2011-02-24;10
PROD021;2011-01-03;5
PROD021;2011-01-04;7
PROD021;2011-01-05;9
PROD021;2011-01-06;1
PROD021;2011-01-07;3
PROD021;2011-01-10;9
PROD021;2011-01-11;1
PROD021;2011-01-12;3
PROD021;2011-01-13;5
PROD021;2011-01-14;7
PROD021;2011-01-17;3
PROD021;2011-01-18;5
PROD021;2011-01-19;7
PROD021;2011-01-20;9
PROD021;2011-01-21;1
PROD021;2011-01-24;7
PROD021;2011-01-25;9
PROD021;2011-01-26;1
PROD021;2011-01-27;3
PROD021;2011-01-28;5
PROD021;2011-01-31;1
PROD021;2011-02-01;3
PROD021;2011-02-02;5
PROD021;2011-02-03;7
PROD021;2011-02-04;9
PROD021;2011-02-07;5
PROD021;2011-02-08;7
PROD021;2011-02-09;9
PROD021;2011-02-10;1
PROD021;2011-02-11;3
PROD021;2011-02-14;9
PROD021;2011-02-15;1
PROD021;2011-02-16;3
PROD021;2011-02-17;5
PROD021;2011-02-18;7
PROD021;2011-02-21;3
PROD021;2011-02-22;5
PROD021;2011-02-23;7
PROD021;2011-02-24;9
PROD022;2011-01-03;6
PROD022;2011-01-04;8
PROD022;2011-01-05;10
PROD022;2011-01-06;2
PROD022;2011-01-07;4
PROD022;2011-01-10;10
PROD022;2011-01-11;2
PROD022;2011-01-12;4
PROD022;2011-01-13;6
PROD022;2011-01-14;8
PROD022;2011-01-17;4
PROD022;2011-01-18;6
PROD022;2011-01-19;8
PROD022;2011-01-20;10
PROD022;2011-01-21;2
PROD022;2011-01-24;8
PROD022;2011-01-25;10
PROD022;2011-01-26;2
PROD022;2011-01-27;4
PROD022;2011-01-28;6
PROD022;2011-01-31;2
PROD022;2011-02-01;4
PROD022;2011-02-02;6
PROD022;2011-02-03;8
PROD022;2011-02-04;10
PROD022;2011-02-07;6
PROD022;2011-02-08;8
PROD022;2011-02-09;10
PROD022;2011-02-10;2
PROD022;2011-02-11;4
PROD022;2011-02-14;10
PROD022;2011-02-15;2
PROD022;2011-02-16;4
PROD022;2011-02-17;6
PROD022;2011-02-18;8
PROD022;2011-02-21;4
PROD022;2011-02-22;6
PROD022;2011-02-23;8
PROD022;2011-02-24;10
PROD023;2011-01-03;5
PROD023;2011-01-04;7
PROD023;2011-01-05;9
PROD023;2011-01-06;1
PROD023;2011-01-07;3
PROD023;2011-01-10;9
PROD023;2011-01-11;1
PROD023;2011-01-12;3
PROD023;2011-01-13;5
PROD023;2011-01-14;7
PROD023;2011-01-17;3
PROD023;2011-01-18;5
PROD023;2011-01-19;7
PROD023;2011-01-20;9
PROD023;2011-01-21;1
PROD023;2011-01-24;7
PROD023;2011-01-25;9
PROD023;2011-01-26;1
PROD023;2011-01-27;3
PROD023;2011-01-28;5
PROD023;2011-01-31;1
PROD023;2011-02-01;3
PROD023;2011-02-02;5
PROD023;2011-02-03;7
PROD023;2011-02-04;9
PROD023;2011-02-07;5
PROD023;2011-02-08;7
PROD023;2011-02-09;9
PROD023;2011-02-10;1
PROD023;2011-02-11;3
PROD023;2011-02-14;9
PROD023;2011-02-15;1
PROD023;2011-02-16;3
PROD023;2011-02-17;5
PROD023;2011-02-18;7
PROD023;2011-02-21;3
PROD023;2011-02-22;5
PROD023;2011-02-23;7
PROD023;2011-02-24;9
PROD024;2011-01-03;6
PROD024;2011-01-04;8
PROD024;2011-01-05;10
PROD024;2011-01-06;2
PROD024;2011-01-07;4
PROD024;2011-01-10;10
PROD024;2011-01-11;2
PROD024;2011-01-12;4
PROD024;2011-01-13;6
PROD024;2011-01-14;8
PROD024;2011-01-17;4
PROD024;2011-01-18;6
PROD024;2011-01-19;8
PROD024;2011-01-20;10
PROD024;2011-01-21;2
PROD024;2011-01-24;8
PROD024;2011-01-25;10
PROD024;2011-01-26;2
PROD024;2011-01-27;4
PROD024;2011-01-28;6
PROD024;2011-01-31;2
PROD024;2011-02-01;4
PROD024;2011-02-02;6
PROD024;2011-02-03;8
PROD024;2011-02-04;10
PROD024;2011-02-07;6
PROD024;2011-02-08;8
PROD024;2011-02-09;10
PROD024;2011-02-10;2
PROD024;2011-02-11;4
PROD024;2011-02-14;10
PROD024;2011-02-15;2
PROD024;2011-02-16;4
PROD024;2011-02-17;6
PROD024;2011-02-18;8
PROD024;2011-02-21;4
PROD024;2011-02-22;6
PROD024;2011-02-23;8
PROD024;2011-02-24;10
PROD025;2011-01-03;5
PROD025;2011-01-04;7
PROD025;2011-01-05;9
PROD025;2011-01-06;1
PROD025;2011-01-07;3
PROD025;2011-01-10;9
PROD025;2011-01-11;1
PROD025;2011-01-12;3
PROD025;2011-01-13;5
PROD025;2011-01-14;7
PROD025;2011-01-17;3
PROD025;2011-01-18;5
PROD025;2011-01-19;7
PROD025;2011-01-20;9
PROD025;2011-01-21;1
PROD025;2011-01-24;7
PROD025;2011-01-25;9
PROD025;2011-01-26;1
PROD025;2011-01-27;3
PROD025;2011-01-28;5
PROD025;2011-01-31;1
PROD025;2011-02-01;3
PROD025;2011-02-02;5
PROD025;2011-02-03;7
PROD025;2011-02-04;9
PROD025;2011-02-07;5
PROD025;2011-02-08;7
PROD025;2011-02-09;9
PROD025;2011-02-10;1
PROD025;2011-02-11;3
PROD025;2011-02-14;9
PROD025;2011-02-15;1
PROD025;2011-02-16;3
PROD025;2011-02-17;5
PROD025;2011-02-18;7
PROD025;2011-02-21;3
PROD025;2011-02-22;5
PROD025;2011-02-23;7
PROD025;2011-02-24;9
PROD026;2011-01-03;6
PROD026;2011-01-04;8
PROD026;2011-01-05;10
PROD026;2011-01-06;2
PROD026;2011-01-07;4
PROD026;2011-01-10;10
PROD026;2011-01-11;2
PROD026;2011-01-12;4
PROD026;2011-01-13;6
PROD026;2011-01-14;8
PROD026;2011-01-17;4
PROD026;2011-01-18;6
PROD026;2011-01-19;8
PROD026;2011-01-20;10
PROD026;2011-01-21;2
PROD026;2011-01-24;8
PROD026;2011-01-25;10
PROD026;2011-01-26;2
PROD026;2011-01-27;4
PROD026;2011-01-28;6
PROD026;2011-01-31;2
PROD026;2011-02-01;4
PROD026;2011-02-02;6
